SHM05	Mahasu Devta Jagra	2026-09-15	The annual grand all-night vigil (Jagra) held at the sacred Hanol temple in Uttarakhand border. Thousands gather for devotional singing, rituals, and the spectacular torch-lit procession. The four Mahasu brothers — Botha, Pabasi, Vasik, and Chalda — are collectively invoked during this ceremony. Devotees from across Shimla, Uttarkashi, and Dehradun attend in massive numbers.	Hanol, Shimla	https://maps.google.com/?q=Hanol+Temple+Uttarakhand
SIR04	Bhangayani Devi Fair	2026-05-20	The grand annual fair held at the Haripur Dhar mountaintop temple in Sirmour. Bhangayani Mata, the divine sister of Shirgul Maharaj, descends from Churdhar to bless devotees. This is one of the most attended fairs in Sirmour. Large palanquin (Rath) processions from many villages converge at the summit.	Haripur Dhar, Sirmour	
MND03	Kamrunag Shivratri Descent	2026-03-08	Kamrunag, the ancient rain deity of the Mandi region, makes his ceremonial annual descent to Mandi city for the world-famous International Mandi Shivratri Fair. Over 200 deities gather in one place. The procession of the ornate silver palanquin of Kamrunag is one of the most iconic sights of the Shivratri fair. His sacred lake near Rohanda is believed to hold centuries of gold offerings from devotees.	Mandi Town	https://maps.google.com/?q=Kamrunag+Lake+Mandi
KLU01	Kullu Dussehra Rath Yatra	2026-10-22	The internationally renowned Kullu Dussehra, declared a Festival of National Importance by the Govt. of India. Lord Raghunath's grand chariot procession leads hundreds of deities in a spectacular seven-day fair in the Dhalpur Maidan. Deities from across the Kullu valley pay homage to the 'King of Gods' — Lord Raghunathji. The event culminates in the burning of Lanka (symbolic of evil).	Dhalpur Maidan, Kullu	https://maps.google.com/?q=Dhalpur+Maidan+Kullu
SHM07	Ghunda Naag Festival	2026-08-14	The local harvest protection ceremony dedicated to Ghunda Naag (Dome Devta), brother of Mahasu. Celebrated on the auspicious occasion of Nag Panchami. Serpent deity worship is central. Devotees bring offerings of milk, rice, and flowers. The ceremony is held at the village square (Chabutra) in Kotkhai.	Kotkhai, Shimla	
MND05	Prashar Rishi Mela	2026-06-10	Annual pilgrimage fair at the legendary Prashar Lake. Devotees hike to the 2730-meter high lake where the pagoda-style temple of Sage Prashar stands. The mysterious floating island in the lake is believed to move according to divine will. Offerings of rice and flowers are floated on the lake. Local folklore performances (Nati dance) are held at night.	Prashar Lake, Mandi	https://maps.google.com/?q=Prashar+Lake+Mandi
SHM04	Bhimakali Temple Fair	2026-11-05	The grand autumn festival at the multi-storied wooden palace-temple of Bhimakali Mata in Sarahan. The Bushahr royal family presides over the ceremonies. The temple is a stunning example of Himachali wooden architecture. Devotees offer gold, silver, and precious gems to the goddess. The fair runs for three days with traditional music and Nati dance performances.	Sarahan, Shimla	https://maps.google.com/?q=Bhimakali+Temple+Sarahan
CHM02	Manimahesh Yatra	2026-08-26	The sacred annual pilgrimage to the Manimahesh Lake at 4080 meters altitude in Chamba. Lord Shiva is believed to reside on the Manimahesh Kailash peak. Hundreds of thousands of pilgrims undertake the arduous trek. A ritual bath in the sacred lake on Janmashtami is the culminating event.	Bharmour, Chamba	https://maps.google.com/?q=Manimahesh+Lake+Chamba
KNG01	Baisakhi Mela Baijnath	2026-04-13	The spring festival at the ancient Baijnath temple dedicated to Lord Shiva (Vaidyanath) in Kangra. One of the twelve Jyotirlinga-style temples. The festival marks the beginning of the harvest season. Traditional Kangra folk songs and Pahadi Nati performances accompany the rituals.	Baijnath, Kangra	https://maps.google.com/?q=Baijnath+Temple+Kangra
UNA01	Chintpurni Fair	2026-07-19	The grand Navratri fair at Shri Chintpurni Devi temple — one of the 51 Shakti Peethas. One of the most powerful goddess shrines in North India. During both Navratris (March and October), hundreds of thousands of devotees arrive from across Punjab, Haryana, and Himachal.	Chintpurni, Una	https://maps.google.com/?q=Chintpurni+Temple+Una
